[perf] running scenario 1/1: editor_fold_recompute
[perf]  5069.80 ms total |    11.66 ms |   WorkspaceEventDispatcher::Handle::TextInput
[perf]  5069.81 ms total |    11.67 ms | WorkspaceEventDispatcher::Handle
[perf]  5081.47 ms total |    11.66 ms |   TextViewport::Undo::ApplyHistoryEntry
[perf]  5081.48 ms total |    11.67 ms | TextViewport::Undo
[perf]  5093.14 ms total |    11.65 ms |   WorkspaceEventDispatcher::Handle::TextInput
[perf]  5093.15 ms total |    11.67 ms | WorkspaceEventDispatcher::Handle
[perf]  5104.71 ms total |    11.56 ms |   TextViewport::Undo::ApplyHistoryEntry
[perf]  5104.73 ms total |    11.57 ms | TextViewport::Undo
[perf]  5116.24 ms total |    11.51 ms |   WorkspaceEventDispatcher::Handle::TextInput
[perf]  5116.25 ms total |    11.53 ms | WorkspaceEventDispatcher::Handle
[perf]  5127.90 ms total |    11.65 ms |   TextViewport::Undo::ApplyHistoryEntry
[perf]  5127.91 ms total |    11.66 ms | TextViewport::Undo
[perf]  5139.65 ms total |    11.73 ms |   WorkspaceEventDispatcher::Handle::TextInput
[perf]  5139.66 ms total |    11.74 ms | WorkspaceEventDispatcher::Handle
[perf]  5151.31 ms total |    11.65 ms |   TextViewport::Undo::ApplyHistoryEntry
[perf]  5151.32 ms total |    11.66 ms | TextViewport::Undo
[perf]  5162.98 ms total |    11.65 ms |   WorkspaceEventDispatcher::Handle::TextInput
[perf]  5162.99 ms total |    11.66 ms | WorkspaceEventDispatcher::Handle
[perf]  5174.65 ms total |    11.66 ms |   TextViewport::Undo::ApplyHistoryEntry
[perf]  5174.66 ms total |    11.67 ms | TextViewport::Undo
[perf]  5186.33 ms total |    11.66 ms |   WorkspaceEventDispatcher::Handle::TextInput
[perf]  5186.34 ms total |    11.67 ms | WorkspaceEventDispatcher::Handle
[perf]  5197.96 ms total |    11.62 ms |   TextViewport::Undo::ApplyHistoryEntry
[perf]  5197.97 ms total |    11.63 ms | TextViewport::Undo
[perf]  5209.66 ms total |    11.69 ms |   WorkspaceEventDispatcher::Handle::TextInput
[perf]  5209.68 ms total |    11.71 ms | WorkspaceEventDispatcher::Handle
[perf]  5221.31 ms total |    11.64 ms |   TextViewport::Undo::ApplyHistoryEntry
[perf]  5221.32 ms total |    11.65 ms | TextViewport::Undo
[perf]  5232.99 ms total |    11.66 ms |   WorkspaceEventDispatcher::Handle::TextInput
[perf]  5233.00 ms total |    11.67 ms | WorkspaceEventDispatcher::Handle
[perf]  5244.71 ms total |    11.71 ms |   TextViewport::Undo::ApplyHistoryEntry
[perf]  5244.73 ms total |    11.73 ms | TextViewport::Undo
[perf]  5256.44 ms total |    11.70 ms |   WorkspaceEventDispatcher::Handle::TextInput
[perf]  5256.45 ms total |    11.72 ms | WorkspaceEventDispatcher::Handle
[perf]  5268.10 ms total |    11.64 ms |   TextViewport::Undo::ApplyHistoryEntry
[perf]  5268.11 ms total |    11.65 ms | TextViewport::Undo
[perf]  5279.76 ms total |    11.65 ms |   WorkspaceEventDispatcher::Handle::TextInput
[perf]  5279.78 ms total |    11.67 ms | WorkspaceEventDispatcher::Handle
[perf]  5291.46 ms total |    11.69 ms |   TextViewport::Undo::ApplyHistoryEntry
[perf]  5291.48 ms total |    11.70 ms | TextViewport::Undo
[perf]  5303.16 ms total |    11.67 ms |   WorkspaceEventDispatcher::Handle::TextInput
[perf]  5303.17 ms total |    11.69 ms | WorkspaceEventDispatcher::Handle
[perf]  5314.85 ms total |    11.68 ms |   TextViewport::Undo::ApplyHistoryEntry
[perf]  5314.86 ms total |    11.69 ms | TextViewport::Undo
[perf]  5326.52 ms total |    11.65 ms |   WorkspaceEventDispatcher::Handle::TextInput
[perf]  5326.53 ms total |    11.66 ms | WorkspaceEventDispatcher::Handle
[perf]  5338.19 ms total |    11.65 ms |   TextViewport::Undo::ApplyHistoryEntry
[perf]  5338.20 ms total |    11.66 ms | TextViewport::Undo
[perf]  5349.91 ms total |    11.71 ms |   WorkspaceEventDispatcher::Handle::TextInput
[perf]  5349.93 ms total |    11.73 ms | WorkspaceEventDispatcher::Handle
[perf]  5361.56 ms total |    11.63 ms |   TextViewport::Undo::ApplyHistoryEntry
[perf]  5361.57 ms total |    11.64 ms | TextViewport::Undo
[perf]  5373.27 ms total |    11.70 ms |   WorkspaceEventDispatcher::Handle::TextInput
[perf]  5373.29 ms total |    11.72 ms | WorkspaceEventDispatcher::Handle
[perf]  5384.79 ms total |    11.50 ms |   TextViewport::Undo::ApplyHistoryEntry
[perf]  5384.81 ms total |    11.52 ms | TextViewport::Undo
[perf]  5396.52 ms total |    11.70 ms |   WorkspaceEventDispatcher::Handle::TextInput
[perf]  5396.53 ms total |    11.72 ms | WorkspaceEventDispatcher::Handle
[perf]  5408.22 ms total |    11.69 ms |   TextViewport::Undo::ApplyHistoryEntry
[perf]  5408.25 ms total |    11.71 ms | TextViewport::Undo
[perf]  5420.01 ms total |    11.75 ms |   WorkspaceEventDispatcher::Handle::TextInput
[perf]  5420.02 ms total |    11.77 ms | WorkspaceEventDispatcher::Handle
[perf]  5431.55 ms total |    11.53 ms |   TextViewport::Undo::ApplyHistoryEntry
[perf]  5431.56 ms total |    11.54 ms | TextViewport::Undo
[perf]  5443.33 ms total |    11.75 ms |   WorkspaceEventDispatcher::Handle::TextInput
[perf]  5443.34 ms total |    11.77 ms | WorkspaceEventDispatcher::Handle
[perf]  5455.02 ms total |    11.68 ms |   TextViewport::Undo::ApplyHistoryEntry
[perf]  5455.03 ms total |    11.69 ms | TextViewport::Undo
[perf]  5466.74 ms total |    11.70 ms |   WorkspaceEventDispatcher::Handle::TextInput
[perf]  5466.75 ms total |    11.71 ms | WorkspaceEventDispatcher::Handle
[perf]  5478.38 ms total |    11.63 ms |   TextViewport::Undo::ApplyHistoryEntry
[perf]  5478.39 ms total |    11.65 ms | TextViewport::Undo
[perf]  5490.10 ms total |    11.70 ms |   WorkspaceEventDispatcher::Handle::TextInput
[perf]  5490.11 ms total |    11.71 ms | WorkspaceEventDispatcher::Handle
[perf]  5501.61 ms total |    11.50 ms |   TextViewport::Undo::ApplyHistoryEntry
[perf]  5501.62 ms total |    11.51 ms | TextViewport::Undo
[perf]  5513.30 ms total |    11.67 ms |   WorkspaceEventDispatcher::Handle::TextInput
[perf]  5513.32 ms total |    11.69 ms | WorkspaceEventDispatcher::Handle
[perf]  5525.01 ms total |    11.69 ms |   TextViewport::Undo::ApplyHistoryEntry
[perf]  5525.02 ms total |    11.70 ms | TextViewport::Undo
[perf]  5536.72 ms total |    11.68 ms |   WorkspaceEventDispatcher::Handle::TextInput
[perf]  5536.73 ms total |    11.70 ms | WorkspaceEventDispatcher::Handle
[perf]  5548.44 ms total |    11.71 ms |   TextViewport::Undo::ApplyHistoryEntry
[perf]  5548.46 ms total |    11.73 ms | TextViewport::Undo
[perf]  5560.13 ms total |    11.66 ms |   WorkspaceEventDispatcher::Handle::TextInput
[perf]  5560.14 ms total |    11.68 ms | WorkspaceEventDispatcher::Handle
[perf]  5571.79 ms total |    11.64 ms |   TextViewport::Undo::ApplyHistoryEntry
[perf]  5571.81 ms total |    11.66 ms | TextViewport::Undo
[perf]  5583.56 ms total |    11.74 ms |   WorkspaceEventDispatcher::Handle::TextInput
[perf]  5583.57 ms total |    11.76 ms | WorkspaceEventDispatcher::Handle
[perf]  5595.24 ms total |    11.66 ms |   TextViewport::Undo::ApplyHistoryEntry
[perf]  5595.25 ms total |    11.68 ms | TextViewport::Undo
[perf]  5606.95 ms total |    11.69 ms |   WorkspaceEventDispatcher::Handle::TextInput
[perf]  5606.97 ms total |    11.71 ms | WorkspaceEventDispatcher::Handle
[perf]  5618.66 ms total |    11.69 ms |   TextViewport::Undo::ApplyHistoryEntry
[perf]  5618.68 ms total |    11.71 ms | TextViewport::Undo
[perf]  5630.38 ms total |    11.68 ms |   WorkspaceEventDispatcher::Handle::TextInput
[perf]  5630.39 ms total |    11.70 ms | WorkspaceEventDispatcher::Handle
[perf]  5642.06 ms total |    11.67 ms |   TextViewport::Undo::ApplyHistoryEntry
[perf]  5642.07 ms total |    11.68 ms | TextViewport::Undo
[perf]  5653.79 ms total |    11.71 ms |   WorkspaceEventDispatcher::Handle::TextInput
[perf]  5653.82 ms total |    11.74 ms | WorkspaceEventDispatcher::Handle
[perf]  5665.56 ms total |    11.74 ms |   TextViewport::Undo::ApplyHistoryEntry
[perf]  5665.58 ms total |    11.76 ms | TextViewport::Undo
[perf]  5677.24 ms total |    11.65 ms |   WorkspaceEventDispatcher::Handle::TextInput
[perf]  5677.25 ms total |    11.67 ms | WorkspaceEventDispatcher::Handle
[perf]  5688.92 ms total |    11.66 ms |   TextViewport::Undo::ApplyHistoryEntry
[perf]  5688.93 ms total |    11.68 ms | TextViewport::Undo
[perf]  5700.59 ms total |    11.65 ms |   WorkspaceEventDispatcher::Handle::TextInput
[perf]  5700.60 ms total |    11.67 ms | WorkspaceEventDispatcher::Handle
[perf]  5712.23 ms total |    11.63 ms |   TextViewport::Undo::ApplyHistoryEntry
[perf]  5712.25 ms total |    11.64 ms | TextViewport::Undo
[perf]  5724.02 ms total |    11.76 ms |   WorkspaceEventDispatcher::Handle::TextInput
[perf]  5724.04 ms total |    11.78 ms | WorkspaceEventDispatcher::Handle
[perf]  5735.50 ms total |    11.46 ms |   TextViewport::Undo::ApplyHistoryEntry
[perf]  5735.51 ms total |    11.48 ms | TextViewport::Undo
[perf]  5747.14 ms total |    11.62 ms |   WorkspaceEventDispatcher::Handle::TextInput
[perf]  5747.15 ms total |    11.64 ms | WorkspaceEventDispatcher::Handle
[perf]  5758.74 ms total |    11.58 ms |   TextViewport::Undo::ApplyHistoryEntry
[perf]  5758.75 ms total |    11.60 ms | TextViewport::Undo
[perf]  5770.31 ms total |    11.55 ms |   WorkspaceEventDispatcher::Handle::TextInput
[perf]  5770.33 ms total |    11.57 ms | WorkspaceEventDispatcher::Handle
[perf]  5781.84 ms total |    11.51 ms |   TextViewport::Undo::ApplyHistoryEntry
[perf]  5781.85 ms total |    11.53 ms | TextViewport::Undo
[perf]  5793.60 ms total |    11.74 ms |   WorkspaceEventDispatcher::Handle::TextInput
[perf]  5793.62 ms total |    11.76 ms | WorkspaceEventDispatcher::Handle
[perf]  5805.08 ms total |    11.46 ms |   TextViewport::Undo::ApplyHistoryEntry
[perf]  5805.09 ms total |    11.47 ms | TextViewport::Undo
[perf]  5816.77 ms total |    11.66 ms |   WorkspaceEventDispatcher::Handle::TextInput
[perf]  5816.78 ms total |    11.68 ms | WorkspaceEventDispatcher::Handle
[perf]  5828.48 ms total |    11.70 ms |   TextViewport::Undo::ApplyHistoryEntry
[perf]  5828.50 ms total |    11.72 ms | TextViewport::Undo
[perf]  5840.22 ms total |    11.71 ms |   WorkspaceEventDispatcher::Handle::TextInput
[perf]  5840.23 ms total |    11.73 ms | WorkspaceEventDispatcher::Handle
[perf]  5851.89 ms total |    11.66 ms |   TextViewport::Undo::ApplyHistoryEntry
[perf]  5851.90 ms total |    11.67 ms | TextViewport::Undo
[perf]  5863.67 ms total |    11.76 ms |   WorkspaceEventDispatcher::Handle::TextInput
[perf]  5863.68 ms total |    11.78 ms | WorkspaceEventDispatcher::Handle
[perf]  5875.35 ms total |    11.66 ms |   TextViewport::Undo::ApplyHistoryEntry
[perf]  5875.36 ms total |    11.68 ms | TextViewport::Undo
[perf]  5887.10 ms total |    11.72 ms |   WorkspaceEventDispatcher::Handle::TextInput
